col0,col1,LocName,lon,lat,iConf,iLvl
セブンイレブン稲城坂浜店,東京都稲城市坂浜3280-1,東京都/稲城市/坂浜/３２８０番地,139.49236,35.6324,5,7
ファミリーマート若葉台一丁目店,東京都稲城市若葉台1丁目23,東京都/稲城市/若葉台/一丁目/２３番,139.47055,35.62739,5,7
ファミリーマート若葉台店,東京都稲城市若葉台2-4-4,東京都/稲城市/若葉台/二丁目/４番,139.47092,35.62036,5,7
ローソン稲城大丸店,東京都稲城市大丸140-40,東京都/稲城市/大丸/１４０番地,139.49843,35.64552,5,7
スリーエフ稲城大丸店,東京都稲城市大丸313-1,東京都/稲城市/大丸/３１３番地,139.49803,35.64901,5,7
サンクス稲城大丸店,東京都稲城市大丸917-1,東京都/稲城市/大丸/９１７番地,139.49104,35.64766,5,7
ファミリーマート稲城長峰店,東京都稲城市長峰2-1,東京都/稲城市/長峰/二丁目/１番,139.48463,35.63174,5,7
セブンイレブン稲城長沼店,東京都稲城市東長沼1181-6,東京都/稲城市/東長沼/１１８１番地,139.50371,35.64308,5,7
エーエムピーエム稲城長沼店,東京都稲城市東長沼204-1,東京都/稲城市/東長沼/２０４番地,139.50502,35.64668,5,7
ファミリーマート加藤稲城店,東京都稲城市東長沼2109-7,東京都/稲城市/東長沼/２１０９番地,139.50092,35.63882,5,7
スリーエフ稲城駅北口店,東京都稲城市東長沼3107-1,東京都/稲城市/東長沼/３１０７番地,139.50098,35.63662,5,7
ミニストップ稲城長沼店,東京都稲城市東長沼450,東京都/稲城市/東長沼/４５０番地,139.502,35.64667,5,7
コミュニティ・ストア稲城ざるや店,東京都稲城市東長沼592,東京都/稲城市/東長沼/５９２番地,139.50673,35.64549,5,7
ファミリーマート京王稲城駅前店,東京都稲城市百村1613-3,東京都/稲城市/百村/１６１３番地,139.49969,35.63588,5,7
セブンイレブン稲城百村店,東京都稲城市百村2115-17,東京都/稲城市/百村/２１１５番地,139.49007,35.63596,5,7
ファミリーマート稲城平尾店,東京都稲城市平尾1丁目34-9,東京都/稲城市/平尾/一丁目/３４番,139.48965,35.61201,5,7
セブンイレブン稲城市平尾店,東京都稲城市平尾2-8-3,東京都/稲城市/平尾/二丁目/８番,139.49608,35.60954,5,7
セブンイレブン矢野口中央店,東京都稲城市矢野口1269,東京都/稲城市/矢野口/１２６９番地,139.51634,35.63886,5,7
ファミリーマート稲城矢野口店,東京都稲城市矢野口1299-1,東京都/稲城市/矢野口/１２９９番地,139.51105,35.63804,5,7
ローソン稲城矢野口店,東京都稲城市矢野口215,東京都/稲城市/矢野口/２１５番地,139.51947,35.64141,5,7
セブンイレブン京王読売ランド前店,東京都稲城市矢野口2281,東京都/稲城市/矢野口/２２８１番地,139.51476,35.63404,5,7
セブンイレブン羽村羽加美1丁目店,東京都羽村市羽加美1丁目40－3,東京都/羽村市/羽加美/一丁目/４０番,139.30592,35.76818,5,7
セブンイレブン羽村羽西2丁目店,東京都羽村市羽西2－2－29,東京都/羽村市/羽西/二丁目/２番,139.29628,35.77198,5,7
ファミリーマート羽村栄町店,東京都羽村市栄町2-21-11,東京都/羽村市/栄町/二丁目/２１番,139.31075,35.76925,5,7
ブルマートさの,東京都羽村市栄町2-23-8,東京都/羽村市/栄町/二丁目/２３番,139.30882,35.76891,5,7
ミニストップ羽村栄町店,東京都羽村市栄町2-3-57,東京都/羽村市/栄町/二丁目/３番,139.3082,35.77273,5,7
セブンイレブン羽村五ノ神1丁目店,東京都羽村市五ノ神1丁目14－9,東京都/羽村市/五ノ神/一丁目/１４番,139.31941,35.75843,5,7
サンクス羽村駅東口店,東京都羽村市五ノ神4-11-18,東京都/羽村市/五ノ神/四丁目/１１番,139.3179,35.76062,5,7
ファミリーマート羽村駅東口店,東京都羽村市五ノ神4-15-1 榎戸ビル1Ｆ,東京都/羽村市/五ノ神/四丁目/１５番,139.31567,35.7593,5,7
セブンイレブン小作駅東口店,東京都羽村市小作台1-13-1,東京都/羽村市/小作台/一丁目/１３番,139.30287,35.77694,5,7
タイムズマート小作店,東京都羽村市小作台1-3-7,東京都/羽村市/小作台/一丁目/３番,139.30202,35.77749,5,7
ファミリーマート羽村小作台店,東京都羽村市小作台1丁目22-5,東京都/羽村市/小作台/一丁目/２２番,139.30299,35.77797,5,7
セブンイレブン羽村小作台2丁目店,東京都羽村市小作台2－18－1,東京都/羽村市/小作台/二丁目/１８番,139.30035,35.77977,5,7
ローソン羽村小作台店,東京都羽村市小作台5-29-6,東京都/羽村市/小作台/五丁目/２９番,139.30273,35.77195,5,7
ローソン羽村小作駅東口店,東京都羽村市小作台5-35-1,東京都/羽村市/小作台/五丁目/３５番,139.3027,35.77562,5,7
セブンイレブン小作駅西口店,東京都羽村市小作台5-9-1,東京都/羽村市/小作台/五丁目/９番,139.30157,35.77539,5,7
ミニストップ羽村神明台店,東京都羽村市神明台1-3-6,東京都/羽村市/神明台/一丁目/３番,139.319,35.75669,5,7
セブンイレブン羽村神明台2丁目店,東京都羽村市神明台2－10－3,東京都/羽村市/神明台/二丁目/１０番,139.32819,35.75414,5,7
セブンイレブン羽村神明台3丁目店,東京都羽村市神明台3ー6ー4,東京都/羽村市/神明台/三丁目/６番,139.32796,35.76274,5,7
サークルＫ羽村市役所通店,東京都羽村市神明台一丁目27番地2,東京都/羽村市/神明台/一丁目/２７番,139.32129,35.75484,5,7
サークルＫ羽村神明台店,東京都羽村市神明台四丁目1番地3,東京都/羽村市/神明台/四丁目/１番,139.32759,35.75848,5,7
セブンイレブン羽村川崎1丁目店,東京都羽村市川崎1－8－12,東京都/羽村市/川崎/一丁目/８番,139.31718,35.75383,5,7
ファミリーマート羽村川崎店,東京都羽村市川崎2-7,東京都/羽村市/川崎/二丁目/７番,139.31827,35.7521,5,7
Ｙショップ榎本,東京都羽村市双葉町2-4-1,東京都/羽村市/双葉町/二丁目/４番,139.33234,35.75885,5,7
サンクス羽村双葉町店,東京都羽村市双葉町3丁目9-34,東京都/羽村市/双葉町/三丁目/９番,139.33572,35.75801,5,7
ファミリーマート羽村富士見平店,東京都羽村市富士見平2丁目21-1,東京都/羽村市/富士見平/二丁目/２１番,139.32664,35.76294,5,7
スリーエイト羽村店,東京都羽村市緑ケ丘1-5-12,東京都/羽村市/緑ヶ丘/一丁目/５番,139.31367,35.7639,5,7
サンクスお花茶屋店,東京都葛飾区お花茶屋1丁目19,東京都/葛飾区/お花茶屋/一丁目/１９番,139.84023,35.748,5,7
セブンイレブン葛飾お花茶屋店,東京都葛飾区お花茶屋2-4-18,東京都/葛飾区/お花茶屋/二丁目/４番,139.83977,35.75111,5,7
（有）伊藤酒店,東京都葛飾区お花茶屋2-5-14,東京都/葛飾区/お花茶屋/二丁目/５番,139.83934,35.7508,5,7
マインマートお花茶屋店,東京都葛飾区お花茶屋2-5-14,東京都/葛飾区/お花茶屋/二丁目/５番,139.83934,35.7508,5,7
サンクスお花茶屋2丁目店,東京都葛飾区お花茶屋2丁目3-3,東京都/葛飾区/お花茶屋/二丁目/３番,139.83928,35.75256,5,7
デイリーヤマザキ奥戸本町店,東京都葛飾区奥戸1-28-7,東京都/葛飾区/奥戸/一丁目/２８番,139.85898,35.73103,5,7
よろづや酒店,東京都葛飾区奥戸2-14-30,東京都/葛飾区/奥戸/二丁目/１４番,139.85654,35.73632,5,7
サンクス葛飾奥戸店,東京都葛飾区奥戸2丁目14-30,東京都/葛飾区/奥戸/二丁目/１４番,139.85654,35.73632,5,7
セブンイレブン葛飾奥戸3丁目店,東京都葛飾区奥戸3－8－2,東京都/葛飾区/奥戸/三丁目/８番,139.86113,35.73324,5,7
ローソン奥戸四丁目店,東京都葛飾区奥戸4-23-26,東京都/葛飾区/奥戸/四丁目/２３番,139.86838,35.72857,5,7
ファミリーマート奥戸五丁目店,東京都葛飾区奥戸5-1-1,東京都/葛飾区/奥戸/五丁目/１番,139.86417,35.73105,5,7
セブンイレブン葛飾奥戸5丁目店,東京都葛飾区奥戸5丁目3－2,東京都/葛飾区/奥戸/五丁目/３番,139.86473,35.73225,5,7
サンクス葛飾鎌倉店,東京都葛飾区鎌倉1丁目23-11,東京都/葛飾区/鎌倉/一丁目/２３番,139.87857,35.74282,5,7
ローソン新柴又店,東京都葛飾区鎌倉3-28-1,東京都/葛飾区/鎌倉/三丁目/２８番,139.87843,35.74987,5,7
セブンイレブン亀有曳船橋店,東京都葛飾区亀有1-14-5,東京都/葛飾区/亀有/一丁目/１４番,139.84465,35.75689,5,7
セブンイレブン葛飾亀有2丁目店,東京都葛飾区亀有2ー34ー5,東京都/葛飾区/亀有/二丁目/３４番,139.8485,35.76073,5,7
（有）田中米作商店,東京都葛飾区亀有2-26-17,東京都/葛飾区/亀有/二丁目/２６番,139.85088,35.76017,5,7
セブンイレブン葛飾亀有3丁目店,東京都葛飾区亀有3ー27ー31,東京都/葛飾区/亀有/三丁目/２７番,139.84966,35.76554,5,7
ファミリーマート亀有駅東店,東京都葛飾区亀有3-43-4,東京都/葛飾区/亀有/三丁目/４３番,139.85048,35.76671,5,7
ファミリーマート亀有三丁目店,東京都葛飾区亀有3-9-7,東京都/葛飾区/亀有/三丁目/９番,139.84744,35.76515,5,7
セブンイレブン亀有4丁目都営アパ－ト前店,東京都葛飾区亀有4－27－1,東京都/葛飾区/亀有/四丁目/２７番,139.84204,35.76278,5,7
セブンイレブン亀有4丁目店,東京都葛飾区亀有4－37－12,東京都/葛飾区/亀有/四丁目/３７番,139.84596,35.7636,5,7
ファミリーマート亀有四丁目店,東京都葛飾区亀有4-4-11,東京都/葛飾区/亀有/四丁目/４番,139.84506,35.76016,5,7
ファミリーマート亀有五丁目店,東京都葛飾区亀有5-12-12 振興ビル1Ｆ,東京都/葛飾区/亀有/五丁目/１２番,139.84491,35.76865,5,7
サンクス亀有北口店,東京都葛飾区亀有5ー45ー1,東京都/葛飾区/亀有/五丁目/４５番,139.84923,35.76749,5,7
セブンイレブン金町店,東京都葛飾区金町3-21-13,東京都/葛飾区/金町/三丁目/２１番,139.87408,35.76726,5,7
ファミリーマート吉川金町店,東京都葛飾区金町5-29-24,東京都/葛飾区/金町/五丁目/２９番,139.86876,35.76652,5,7
エーエムピーエム京成金町駅店,東京都葛飾区金町5-37-9,東京都/葛飾区/金町/五丁目/３７番,139.87015,35.76859,5,7
ファミリーマート金町駅前店,東京都葛飾区金町6-4-1,東京都/葛飾区/金町/六丁目/４番,139.86902,35.76918,5,7
サンクス金町南口店,東京都葛飾区金町6丁目4-2 ラヴィクレール1-1,東京都/葛飾区/金町/六丁目/４番,139.86902,35.76918,5,7
